ENTRY	GENE NAME	NAME	LOCATION
A0A1I9LQR9	At3g56300	Cysteinyl-tRNA synthetase, class Ia family protein	[MISSING]
F4J4T3	At3g04600 F7O18.7 F7O18_7	Nucleotidylyl transferase superfamily protein	[MISSING]
C0Z2L2	At5g63650	AT5G63650 protein	[MISSING]
A0A178VJY7	At3g54440 AXX17_At3g48870	Uncharacterized protein	[MISSING]
Q56Y11	At5g58770 MZN1.21	Dehydrodolichyl diphosphate synthase 2 (Dedol-PP synthase 2) (EC 2.5.1.-)	[MISSING]
B9DGT6	At1g53310	AT1G53310 protein	[MISSING]
Q96286	SAMDC1 SAMDC At3g02470 F16B3.10	S-adenosylmethionine decarboxylase proenzyme 1 (AdoMetDC1) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase 1 alpha chain; S-adenosylmethionine decarboxylase 1 beta chain]	[MISSING]
Q96287	ASK8 At4g00720 F6N23.11	Shaggy-related protein kinase theta (EC 2.7.11.1) (ASK-theta)	[MISSING]
B3H520	GSTF4 ATGSTF4 GLUTATHIONE S-TRANSFERASE 31 glutathione S-transferase F4 GST31 At1g02950 F22D16.5 F22D16_5	Glutathione S-transferase F4	[MISSING]
F4IMB5	At2g07698 T18C6.2 T18C6_2	ATPase, F1 complex, alpha subunit protein	[MISSING]
Q0WM36	At5g43940	Alcohol dehydrogenase class III (EC 1.1.1.1) (Fragment)	[MISSING]
A0A1P8BFP5	GA20OX2 AT2353 ATGA20OX2 gibberellin 20 oxidase 2 MIO24.5 MIO24_5 At5g51810	Gibberellin 20 oxidase 2	[MISSING]
A0A1I9LM15	IPP2 IDI2 IPIAT1 At3g02780 F13E7.28 F13E7_28	Isopentenyl pyrophosphate:dimethylallyl pyrophosphate isomerase 2	[MISSING]
A0A1P8AXQ5	ACL ACETONE-CYANOHYDRIN LYASE acetone-cyanohydrin lyase ARABIDOPSIS METHYL ESTERASE 8 ATME8 ATMES2 ME8 MES2 METHYL ESTERASE 2 METHYL ESTERASE 8 At2g23600 F26B6.25 F26B6_25	Acetone-cyanohydrin lyase	[MISSING]
B9DG77	At5g65110	Acyl-coenzyme A oxidase	[MISSING]
A0A1P8ASP1	GSTF5 ATGSTF5 At1g02940 F22D16.6 F22D16_6	Glutathione S-transferase (Class phi) 5	[MISSING]
A0A1P8BE27	HEMG2 MEE61 PPO2 At5g14220 F18O22.10 F18O22_10	Flavin containing amine oxidoreductase family	[MISSING]
F4HUL6	CAT3 ATCAT3 catalase 3 SEN2 SENESCENCE 2 At1g20620 F5M15.5 F5M15_5	Catalase 3	[MISSING]
A0A1P8BG43	BIOF ATBIOF BIO4 biotin 4 biotin F At5g04620 T1E3.3	Biotin F	[MISSING]
A0A1I9LMG6	BGL2 ''beta-1 3-GLUCANASE 3-GLUCANASE 2 3-glucanase 2 3-glucanase 2'' AtBG2 AtPR2 BETA-1 beta-1 BG2 PATHOGENESIS-RELATED PROTEIN 2 PR-2 PR2 At3g57260	Beta-1,3-glucanase 2	[MISSING]
O49499	CCOAOMT1 At4g34050 F28A23.190	Caffeoyl-CoA O-methyltransferase 1 (EC 2.1.1.104) (Trans-caffeoyl-CoA 3-O-methyltransferase) (CCoAMT) (CCoAOMT1)	[MISSING]
Q56Z44	At3g46100	Histidyl-tRNA synthetase (Fragment)	[MISSING]
Q56Z45	At2g37040	Phenylalanine ammonia lyase (Fragment)	[MISSING]
Q56Z42	At5g03860	Malate synthase-like protein	[MISSING]
Q56W11	At1g48030	Lipoamide dehydrogenase (Fragment)	[MISSING]
F4I7V2	GlcNAc1pUT1 GLCNA.UT1 At1g31070 F17F8.1	N-acetylglucosamine-1-phosphate uridylyltransferase 1	[MISSING]
Q9SF23	FOLB1 At3g11750 F26K24.4	Dihydroneopterin aldolase 1 (DHNA1) (EC 4.1.2.25) (7,8-dihydroneopterin aldolase) (AtFolB1)	[MISSING]
A0A1P8ARF1	pde194 pigment defective 194 At1g66520 F28G11.15 F28G11_15	Formyltransferase	[MISSING]
Q9FIN1	At5g24410 K16H17.12	Probable 6-phosphogluconolactonase 4 (6PGL 4) (EC 3.1.1.31)	[MISSING]
A0A1P8APV8	At1g22430 F12K8.22 F12K8_22	GroES-like zinc-binding dehydrogenase family protein	[MISSING]
A0A1P8AYN0	MGDC ATMGD3 MGD3 At2g11810 F7E22.4 F7E22_4	Monogalactosyldiacylglycerol synthase type C	[MISSING]
Q56ZD2	At5g17630	Glucose 6 phosphate/phosphate translocator-like protein (Fragment)	[MISSING]
A0A1P8B5M2	FAB1A At4g33240 F4I10.170 F4I10_170	1-phosphatidylinositol-3-phosphate 5-kinase FAB1A	[MISSING]
F4IIN3	MIPS2 ATIPS2 ATMIPS1 ATMIPS2 MIPS1 At2g22240	Myo-inositol-1-phosphate synthase 2	[MISSING]
U3MZJ7	GA20ox1 At4g25420	GA20ox1	[MISSING]
U3MZJ1	GA20ox1 At4g25420	GA20ox1	[MISSING]
Q56WU9	At2g18960	Plasma membrane proton ATPase	[MISSING]
Q56WU3	At3g58610	Ketol-acid reductoisomerase	[MISSING]
A0A1P8B9A7	CYL1 CYCLOPS 1 MSH12.16 MSH12_16 N-ACETYL-GLUCOSAMINIDASE NAGLU At5g13690	Alpha-N-acetylglucosaminidase family / NAGLU family	[MISSING]
Q0WW21	UGT75C1 At4g14090 dl3090c Z97335.19	UDP-glycosyltransferase 75C1 (EC 2.4.1.-) (Anthocyanin 5-O-glucosyltransferase) (UDP glucose:anthocyanin 5-O-glucosyltransferase)	[MISSING]
A0A1P8AVX3	EBS1 PRIORITY IN SWEET LIFE 2 PSL2 UGGT At1g71220 F3I17.13 F3I17_13	EMS-MUTAGENIZED BRI1 SUPPRESSOR 1	[MISSING]
Q0WW25	At5g04140	Ferredoxin-dependent glutamate synthase	[MISSING]
A0A1P8AZC9	PIP5K3 At2g26420 T9J22.9 T9J22_9	1-phosphatidylinositol-4-phosphate 5-kinase 3	[MISSING]
Q39010	ASK6 At2g30980 F7F1.19	Shaggy-related protein kinase zeta (EC 2.7.11.1) (ASK-zeta)	[MISSING]
Q39011	ASK7 BIN2 DWF12 UCU1 At4g18710 F28A21.120	Shaggy-related protein kinase eta (EC 2.7.11.1) (ASK-eta) (Protein BRASSINOSTEROID INSENSITIVE 2) (Protein ULTRACURVATA 1)	[MISSING]
A0A178V9L2	At3g56630 AXX17_At3g51230	CYP94D2	[MISSING]
Q9LDY6	At4g08800	Casein kinase I like protein	[MISSING]
Q9FPG5	At2g21790/F7D8.11	At2g21790	[MISSING]
A0A1P8BGP6	MVA3.170 MVA3_170 At5g17820	Peroxidase superfamily protein	[MISSING]
Q4JNV9	At1g02050	Chalcone synthase family protein (Fragment)	[MISSING]
Q4JNU6	At1g02050	Chalcone synthase family protein (Fragment)	[MISSING]
Q9LU02	BGLU13 At5g44640 K15C23.9	Beta-glucosidase 13 (AtBGLU13) (EC 3.2.1.21)	[MISSING]
A0A1P8B4B0	At4g18230 T9A21.80 T9A21_80	UDP-N-acetylglucosamine transferase subunit ALG14-like protein	[MISSING]
F4IXL7	DXPS1 DXL1 DXS-like 1 DXS2 At3g21500	1-deoxy-D-xylulose 5-phosphate synthase 1	[MISSING]
F4IXL8	DXPS1 DXL1 DXS-like 1 DXS2 At3g21500	1-deoxy-D-xylulose 5-phosphate synthase 1	[MISSING]
A0A1P8BEJ4	At5g09300 T5E8.100 T5E8_100	Thiamin diphosphate-binding fold (THDP-binding) superfamily protein	[MISSING]
F4I035	At1g48860 T24P22.2	RNA 3'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta	[MISSING]
F4I032	EMB1144 embryo defective 1144 At1g48850 T24P22.3 T24P22_3	Chorismate synthase (EC 4.2.3.5)	[MISSING]
F4I033	EMB1144 embryo defective 1144 At1g48850 T24P22.3 T24P22_3	Chorismate synthase (EC 4.2.3.5)	[MISSING]
Q8LAM2	At4g14930 Dl3505W FCAALL.200	At4g14930 (Expressed protein) (Putative uncharacterized protein) (Survival protein SurE-like phosphatase/nucleotidase)	[MISSING]
A0A178WFN8	At1g74010 AXX17_At1g68360	Uncharacterized protein	[MISSING]
Q9SFV7	GCH1 GCHI At3g07270 T1B9.6	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I)	[MISSING]
A0A1P8AXT8	ACA4 ''autoinhibited Ca(2+)-ATPase autoinhibited Ca(2+)-ATPase isoform 4 isoform 4'' At2g41560 T32G6.8 T32G6_8	Autoinhibited Ca(2+)-ATPase, isoform 4	[MISSING]
A0A1P8BBB5	FBA4 AtFBA4 At5g03690 F17C15.110 F17C15_110	Aldolase superfamily protein	[MISSING]
C0Z363	At1g72880	AT1G72880 protein	[MISSING]
A0A178UPG9	At5g61410 AXX17_At5g60890	RPE	[MISSING]
Q0WTJ5	At4g37330	Cytochrome P450 like protein (Fragment)	[MISSING]
Q9ZW03	At2g29150 F16P2.47	Tropinone reductase homolog At2g29150 (EC 1.1.1.-)	[MISSING]
Q9SID0	At2g31390 T28P16.12	Probable fructokinase-1 (EC 2.7.1.4)	[MISSING]
F4J0D8	At3g28715	ATPase, V0/A0 complex, subunit C/D	[MISSING]
A0A178VAP2	At3g15290 AXX17_At3g15940	Uncharacterized protein	[MISSING]
A0A1P8AZM5	At2g32520 T26B15.8 T26B15_8	Alpha/beta-Hydrolases superfamily protein	[MISSING]
B3H4P7	At2g47690 F17A22.8	NADH-ubiquinone oxidoreductase-like protein	[MISSING]
A0A1P8B0L6	ISA1 ATISA1 isoamylase 1 At2g39930 T28M21.9 T28M21_9	Isoamylase 1	[MISSING]
A0A1P8AQM4	SULTR1;2 SEL1 SELENATE RESISTANT 1 SULFATE TRANSPORTER sulfate transporter 1;2 At1g78000 F28K19.22 F28K19_22	Sulfate transporter 12	[MISSING]
A0A1P8B4L8	At4g17360 Dl4715c FCAALL.417	Formyl transferase	[MISSING]
A0A1P8B3X2	NS1 ATNS1 OVA8 ovule abortion 8 At4g17300 Dl4685W FCAALL.396	Class II aminoacyl-tRNA and biotin synthetases superfamily protein	[MISSING]
F4ITZ0	NF-YB1 ''nuclear factor Y ATHAP3 ATNF-YB1 HAP3 HAP3A nuclear factor Y NUCLEAR FACTOR Y SUBUNIT B1 subunit B1 subunit B1'' At2g38880 T7F6.5 T7F6_5	Nuclear factor Y, subunit B1	[MISSING]
Q42546	SAL1 FRY1 At5g63980 MBM17.8	SAL1 phosphatase (3'(2'),5'-bisphosphate nucleotidase 1) (EC 3.1.3.7) (3'(2'),5'-bisphosphonucleoside 3'(2')-phosphohydrolase 1) (DPNPase 1) (Inositol polyphosphate 1-phosphatase 1) (IPPase 1) (Inositol-1,4-bisphosphate 1-phosphatase 1) (EC 3.1.3.57) (Protein FIERY 1)	[MISSING]
F4ITZ4	NF-YB1 ''nuclear factor Y ATHAP3 ATNF-YB1 HAP3 HAP3A nuclear factor Y NUCLEAR FACTOR Y SUBUNIT B1 subunit B1 subunit B1'' At2g38880 T7F6.5 T7F6_5	Nuclear factor Y, subunit B1	[MISSING]
F4ITZ6	NF-YB1 ''nuclear factor Y ATHAP3 ATNF-YB1 HAP3 HAP3A nuclear factor Y NUCLEAR FACTOR Y SUBUNIT B1 subunit B1 subunit B1'' At2g38880 T7F6.5 T7F6_5	Nuclear factor Y, subunit B1	[MISSING]
Q8L7N7	At5g19550	Aspartate aminotransferase (EC 2.6.1.1)	[MISSING]
Q56YE5	At3g29320	Alpha-glucan phosphorylase (Fragment)	[MISSING]
O80476	MES2 ACL ME8 At2g23600 F26B6.25	Methylesterase 2 (AtMES2) (EC 3.1.1.-) (Protein METHYLESTERASE 8) (AtME8)	[MISSING]
O80477	MES3 At2g23610 F26B6.26	Methylesterase 3 (AtMES3) (EC 3.1.1.-)	[MISSING]
Q56YS1	At2g32440	Putative cytochrome P450 (Fragment)	[MISSING]
Q56YS5	At5g12200	Dihydropyrimidinase like protein	[MISSING]
Q0WUH0	At3g52940	Sterol C-14 reductase	[MISSING]
Q0WUH6	At1g20630	Catalase (EC 1.11.1.6)	[MISSING]
C0Z2S6	At4g37410	AT4G37410 protein	[MISSING]
Q43309	ACS4 ACC4 At2g22810 T20K9.2	1-aminocyclopropane-1-carboxylate synthase 4 (ACC synthase 4) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase 4)	[MISSING]
A0A1P8AUM2	OPCL1 OPC-8:0 CoA ligase1 At1g20510 F5M15.17 F5M15_17	OPC-8:0 CoA ligase1	[MISSING]
A0A1P8ANX8	VHA-E3 At1g64200 F22C12.4 F22C12_4	Vacuolar H+-ATPase subunit E isoform 3	[MISSING]
Q9SMQ4	SRK2F OSKL5 SNRK2.7 At4g40010 T5J17.180	Serine/threonine-protein kinase SRK2F (EC 2.7.11.1) (OST1-kinase-like 5) (SNF1-related kinase 2.7) (SnRK2.7)	[MISSING]
A0A1P8BF27	CYP71A14 ''cytochrome P450 cytochrome P450 family 71 polypeptide 14 polypeptide 14'' subfamily A At5g24960 F6A4.170 F6A4_170	Cytochrome P450, family 71, subfamily A, polypeptide 14	[MISSING]
F4JJ27	ABCD1 acetate non-utilizing 2 ACN2 AtABCD1 ATP-binding cassette D1 COMATOSE CTS PED3 peroxisomal ABC transporter 1 PEROXISOME DEFECTIVE 3 PXA1 At4g39850 T5J17.20 T5J17_20	Peroxisomal ABC transporter 1	[MISSING]
Q0WM21	At1g02790	Exopolygalacturonase (Fragment)	[MISSING]
C0Z2A4	At5g58330	AT5G58330 protein	[MISSING]
F4IC59	At1g12230 T28K15.4 T28K15_4	Aldolase superfamily protein	[MISSING]
C0Z2A8	At1g20020	AT1G20020 protein	[MISSING]
B9DG07	At3g45300	AT3G45300 protein (Fragment)	[MISSING]
F4JK17	At4g09520 T15G18.60 T15G18_60	Cofactor-independent phosphoglycerate mutase	[MISSING]
Q0WWL8	At4g37870	Phosphoenolpyruvate carboxykinase (ATP)-like protein	[MISSING]
Q9C723	At1g55090 T7N22.4	Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing]) (NAD(+) synthetase)	[MISSING]
F4HNZ6	GAPA-2 At1g12900 F13K23.15 F13K23_15	Glyceraldehyde 3-phosphate dehydrogenase A subunit 2	[MISSING]
Q8RWQ2	At3g54440	At3g54435 (Glycoside hydrolase family 2 protein)	[MISSING]
Q0WRN5	At2g01450	Mitogen-activated protein kinase (EC 2.7.11.24)	[MISSING]
F4JKD5	APR3 APS reductase 3 ATAPR3 PAPS REDUCTASE HOMOLOG 26 PRH-26 PRH26 At4g21990 F1N20.90 F1N20_90	APS reductase 3	[MISSING]
A0A1P8BHH7	RIBA3 AtRIBA3 homolog of ribA 3 MTH12.13 MTH12_13 At5g59750	Monofunctional riboflavin biosynthesis protein RIBA 3	[MISSING]
A0A178V7P2	At3g02610 F16B3.24 F16B3_24	Plant stearoyl-acyl-carrier desaturase family protein	[MISSING]
Q6E295	At1g50000 F2J10.21 F2J10_21	Methyltransferase (Putative uncharacterized protein)	[MISSING]
Q6E297	At1g50000 F2J10.21 F2J10_21	Methyltransferase (Putative uncharacterized protein)	[MISSING]
Q6E296	At1g50000	Putative uncharacterized protein	[MISSING]
Q8LG98	At1g28120 F13K9.21	Ubiquitin thioesterase otubain-like (EC 3.4.19.12) (Deubiquitinating enzyme otubain-like) (Ubiquitin-specific-processing protease otubain-like)	[MISSING]
F4JVY8	LKR LYSINE-KETOGLUTARATE REDUCTASE SACCHAROPINE DEHYDROGENASE SDH At4g33150 F4I10.80 F4I10_80	Lysine-ketoglutarate reductase/saccharopine dehydrogenase bifunctional enzyme	[MISSING]
A0A1P8APW6	At1g79890 F19K16.15 F19K16_15	RAD3-like DNA-binding helicase protein	[MISSING]
A0A1P8AYI3	At2g29320 F16P2.30 F16P2_30	NAD(P)-binding Rossmann-fold superfamily protein	[MISSING]
Q0WRP9	At4g19710	Aspartate kinase-homoserine dehydrogenase-like protein	[MISSING]
Q56WB3	At3g51840	Short-chain acyl CoA oxidase	[MISSING]
Q56WB0	At3g54440	Beta Galactosidase-like protein	[MISSING]
B3LF89	At3g55140	Pectate lyase (EC 4.2.2.2)	[MISSING]
Q940G2	At4g35090/M4E13.140	Catalase (EC 1.11.1.6)	[MISSING]
B3LF83	CYP74B2 HPL1 At4g15440 dl3766w	Probable inactive linolenate hydroperoxide lyase (Cytochrome P450 74B2) (Hydroperoxide lyase 1)	[MISSING]
C8C9X3	CalS5 At2g13680	Callose synthase 5 (EC 2.4.1.34)	[MISSING]
A0A178V5N5	At4g39280 AXX17_At4g44680	Uncharacterized protein	[MISSING]
A8MRI5	HISN6B ATHPA1 EMB2196 EMBRYO DEFECTIVE 2196 HISN6A HISTIDINE BIOSYNTHESIS 6A HISTIDINE BIOSYNTHESIS 6B HPA1 At1g71920 At5g10330 F17M19.7 F17M19_7 F18D22.100	HISTIDINE BIOSYNTHESIS 6B (Histidinol phosphate aminotransferase 1)	[MISSING]
Q94K57	At5g12200	Putative dihydropyrimidinase	[MISSING]
A0A1P8AW36	At1g51720 F19C24.7 F19C24_7	Amino acid dehydrogenase family protein	[MISSING]
P54888	P5CSB P5CS2 At3g55610 F1I16_20	Delta-1-pyrroline-5-carboxylate synthase B (P5CS B) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]	[MISSING]
A0A1P8AW38	At1g51720 F19C24.7 F19C24_7	Amino acid dehydrogenase family protein	[MISSING]
Q0WWD3	At3g58730	Vacuolar-type H+-ATPase (V-ATPase) subunit D	[MISSING]
Q8LPL7	At4g04880 T4B21.20 T4B21_20	Adenosine/AMP deaminase family protein (Putative adenosine deaminase)	[MISSING]
Q8LPL3	At5g21100 T10F18.130 T10F18_130	Ascorbate oxidase-like protein (L-ascorbate oxidase, putative) (Plant L-ascorbate oxidase)	[MISSING]
A0A1P8B9N1	FDH AtFDH1 FORMATE DEHYDROGENASE formate dehydrogenase At5g14780 T9L3.80 T9L3_80	Formate dehydrogenase	[MISSING]
Q9LDF5	At3g15290	3-hydroxyacyl-CoA dehydrogenase family protein (3-hydroxybutyryl-CoA dehydrogenase-like protein) (Putative 3-hydroxybutyryl-CoA dehydrogenase)	[MISSING]
B9DI56	At3g47520	AT3G47520 protein (Fragment)	[MISSING]
F4K8F7	PNT1 PEANUT 1 At5g22130	Mannosyltransferase family protein	[MISSING]
A0A1P8AVY4	NFXL1 ATNFXL1 NF-X-like 1 At1g10170 F14N23.5 F14N23_5	NF-X-like 1	[MISSING]
B9DI51	At1g29900	AT1G29900 protein (Fragment)	[MISSING]
Q9SKU8	At2g20690 F5H14.34 F5H14_34	At2g20690/F5H14.34 (Lumazine-binding family protein) (Putative riboflavin synthase alpha chain)	[MISSING]
A0A1P8AX87	At2g47690 F17A22.8	NADH-ubiquinone oxidoreductase-like protein	[MISSING]
A0A1P8B436	ALN allantoinase ATALN At4g04955	Allantoinase	[MISSING]
Q0WSV8	At1g62800	Aspartate aminotransferase (EC 2.6.1.1)	[MISSING]
A0A1I9LMX2	PIP5K6 At3g07960	Phosphatidylinositol-4-phosphate 5-kinase family protein	[MISSING]
A0A1I9LMX3	PIP5K6 At3g07960	Phosphatidylinositol-4-phosphate 5-kinase family protein	[MISSING]
Q9SCS3	At3g50520 T20E23.120	Phosphoglycerate mutase-like protein 4	[MISSING]
A0A1P8AMT5	GSTF4 ATGSTF4 GLUTATHIONE S-TRANSFERASE 31 glutathione S-transferase F4 GST31 At1g02950 F22D16.5 F22D16_5	Glutathione S-transferase F4	[MISSING]
A0A1P8BEE5	APK4 At5g67520 K9I9.8 K9I9_8	Adenosine-5'-phosphosulfate (APS) kinase 4	[MISSING]
Q9LU36	4CL4 At3g21230 MXL8_9	4-coumarate--CoA ligase 4 (4CL 4) (EC 6.2.1.12) (4-coumarate--CoA ligase isoform 5) (At4CL5) (4-coumaroyl-CoA synthase 4)	[MISSING]
B9DFR5	At5g50950	AT5G50950 protein	[MISSING]
Q9M1K2	PIP5K4 At3g56960 F24I3.40	Phosphatidylinositol 4-phosphate 5-kinase 4 (AtPIP5K4) (EC 2.7.1.68) (1-phosphatidylinositol 4-phosphate kinase 4) (Diphosphoinositide kinase 4) (PtdIns(4)P-5-kinase 4)	[MISSING]
F4IVK2	At2g26800	Aldolase superfamily protein	[MISSING]
A0A1P8B7G1	At4g32360 F8B4.60	Pyridine nucleotide-disulfide oxidoreductase family protein	[MISSING]
U3N137	GA20ox1 At4g25420	GA20ox1	[MISSING]
A0A178VYJ2	At2g42490 AXX17_At2g39860	Uncharacterized protein	[MISSING]
U3N132	GA20ox1 At4g25420	GA20ox1	[MISSING]
C0Z371	At3g27380	AT3G27380 protein	[MISSING]
Q0WW11	At4g32770	Sucrose export defective 1	[MISSING]
A0A178WE00	At1g02260 AXX17_At1g01370	Uncharacterized protein	[MISSING]
Q0WTE6	At1g63460	Glutathione peroxidase	[MISSING]
A0A178VGR6	At3g02620 F16B3.25 F16B3_25	Plant stearoyl-acyl-carrier-protein desaturase family protein	[MISSING]
B9DHR6	At1g20620	AT1G20620 protein (Fragment)	[MISSING]
A0A178VA69	PRMT6 ATPRMT6 At3g20020	Protein arginine methyltransferase 6	[MISSING]
F4HYE4	FANCM At-FANCM At1g35530 F15O4.40	DEAD/DEAH box RNA helicase family protein	[MISSING]
F4HYE5	FANCM At-FANCM At1g35530 F15O4.40	DEAD/DEAH box RNA helicase family protein	[MISSING]
Q9SIE3	At2g22230 T26C19.11 T26C19_11	At2g22230/T26C19.11 (Putative beta-hydroxyacyl-ACP dehydratase) (Thioesterase superfamily protein)	[MISSING]
Q1LYZ1	At3g44300	At3g44300 (Nitrilase 2)	[MISSING]
A0A1P8AXK4	ACA2 alpha carbonic anhydrase 2 ATACA2 At2g28210 T3B23.12 T3B23_12	Alpha carbonic anhydrase 2	[MISSING]
Q5FBU7	At5g13930.1	Mutant protein of chalcone synthase	[MISSING]
A0A1P8AZN1	GPX4 ATGPX4 glutathione peroxidase 4 At2g48150 F11L15.5	Glutathione peroxidase 4	[MISSING]
P38605	CAS1 CYC At2g07050 T4E14.16	Cycloartenol synthase (AtCYC) (EC 5.4.99.8) (2,3-epoxysqualene--cycloartenol cyclase)	[MISSING]
A0A1P8AZN3	At2g32520 T26B15.8 T26B15_8	Alpha/beta-Hydrolases superfamily protein	[MISSING]
A0A178WJZ2	At1g30820 AXX17_At1g31380	Uncharacterized protein	[MISSING]
A0A1P8AVK7	LUP2 ATLUP2 lupeol synthase 2 YUP8H12R.43 YUP8H12R_43 At1g78960	Lupeol synthase 2	[MISSING]
Q949W8	XK-2 MNI5.3 MNI5_3 XK2 XYLULOSE KINASE 2 xylulose kinase-2 At5g49650	Putative xylulose kinase (Xylulose kinase-2)	[MISSING]
A0A1P8AQL1	At1g50000 F2J10.21 F2J10_21	Methyltransferase	[MISSING]
A0A1P8AQL0	At1g50000 F2J10.21 F2J10_21	Methyltransferase	[MISSING]
A8MQW5	CCR1 ATCCR1 CINNAMOYL COA REDUCTASE cinnamoyl coa reductase 1 IRREGULAR XYLEM 4 IRX4 At1g15950 T24D18.5 T24D18_5	Cinnamoyl coa reductase 1	[MISSING]
A8MQW0	SNG1 MALATE SINAPOYLTRANSFERASE SCPL8 SERINE CARBOXYPEPTIDASE-LIKE 8 sinapoylglucose 1 At2g22990 T20K9.18	Sinapoylglucose 1	[MISSING]
B3H5M0	MDHAR ATMDAR3 AtMDAR3 MDAR2 MDAR3 monodehydroascorbate reductase At3g09940 F8A24.20	Monodehydroascorbate reductase	[MISSING]
A0A178UWX5	At4g22870 AXX17_At4g26550	Uncharacterized protein	[MISSING]
Q541W8	At3g26170/MTC11_7	Putative cytochrome P450	[MISSING]
Q9S7A0	GSH3 At3g03910 F20H23.4 T11I18.2	Probable glutamate dehydrogenase 3 (GDH 3) (EC 1.4.1.3)	[MISSING]
Q08A71	PRMT6 At3g20020 MAL21.12	Probable protein arginine N-methyltransferase 6 (EC 2.1.1.-)	[MISSING]
Q9SUI2	PIP5K7 P5K2 At1g10900 T19D16.18	Phosphatidylinositol 4-phosphate 5-kinase 7 (AtPIP5K7) (EC 2.7.1.68) (1-phosphatidylinositol 4-phosphate kinase 7) (Diphosphoinositide kinase 7) (AtP5K2) (PtdIns(4)P-5-kinase 7)	[MISSING]
A0A1P8B1E5	At2g45300 F4L23.19	RNA 3'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta	[MISSING]
Q8LEV7	At5g24420 K16H17.13	Probable 6-phosphogluconolactonase 3 (6PGL 3) (EC 3.1.1.31)	[MISSING]
F4K203	MAF19.14 MAF19_14 At5g61140	U5 small nuclear ribonucleoprotein helicase	[MISSING]
Q9SF49	F11F8_12 At3g09540	Pectate lyase (EC 4.2.2.2)	[MISSING]
W8PVS8	AT1G78580	Glycosyltransferase (Fragment)	[MISSING]
Q56YR4	At2g30970	Aspartate aminotransferase (EC 2.6.1.1)	[MISSING]
Q56YR6	At3g53280	Cytochrome P450 monooxygenase	[MISSING]
A0A1P8BD32	APTG1 At5g14850 T9L3.150 T9L3_150	Alg9-like mannosyltransferase family	[MISSING]
