ENTRY	CHEBI	NAME	STOICHIOMETRY	UNIPROT ANNOTATION
O65688	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P53799}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:P53799}; 
Q8VYG2	CHEBI:18420	Mg(2+)	1	Magnesium. Can also use other divalent cations like manganese or calcium. {ECO:0000269|PubMed:19509290};
Q8VYG2	CHEBI:29035	Mn(2+)	0	Magnesium. Can also use other divalent cations like manganese or calcium. {ECO:0000269|PubMed:19509290};
Q8VYG2	CHEBI:29108	Ca(2+)	0	Magnesium. Can also use other divalent cations like manganese or calcium. {ECO:0000269|PubMed:19509290};
Q8L7K9	CHEBI:18420	Mg(2+)	1	Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};
Q8L7K9	CHEBI:29035	Mn(2+)	0	Divalent metal cations. Prefers magnesium or manganese. {ECO:0000250};
O82567	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
O82567	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q9CAF2	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q9CAF2	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q8GUK6	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q8GUK6	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q9SLB1	CHEBI:79027	L-topaquinone	1	Contains 1 topaquinone per subunit. {ECO:0000256|RuleBase:RU000672};; 
Q9SLB1	CHEBI:23378	Cu cation	0	Contains 1 topaquinone per subunit. {ECO:0000256|RuleBase:RU000672};; 
Q9SRZ6	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
Q9SRZ6	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
Q8RWV0	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250};; 
Q8RWV0	CHEBI:29108	Ca(2+)	0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250};; 
Q8RWV0	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250};; 
Q8RWV0	CHEBI:48828	Co(2+)	0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250};; 
Q93Y37	CHEBI:29108	Ca(2+)	1	Ca(2+) or Mn(2+). Mg(2+) can be used to a lesser extent. {ECO:0000269|PubMed:20023195};
Q93Y37	CHEBI:29035	Mn(2+)	0	Ca(2+) or Mn(2+). Mg(2+) can be used to a lesser extent. {ECO:0000269|PubMed:20023195};
Q93Y37	CHEBI:18420	Mg(2+)	0	Ca(2+) or Mn(2+). Mg(2+) can be used to a lesser extent. {ECO:0000269|PubMed:20023195};
Q9SIY3	CHEBI:18420	Mg(2+)	1	ATPase occurs in the presence of Mg(2+) ions as well as Mn(2+) and Co(2+) ions. {ECO:0000269|PubMed:24004165};
Q9SIY3	CHEBI:29035	Mn(2+)	0	ATPase occurs in the presence of Mg(2+) ions as well as Mn(2+) and Co(2+) ions. {ECO:0000269|PubMed:24004165};
Q9SIY3	CHEBI:48828	Co(2+)	0	ATPase occurs in the presence of Mg(2+) ions as well as Mn(2+) and Co(2+) ions. {ECO:0000269|PubMed:24004165};
Q0WUR5	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q0WUR5	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q9C550	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; 
Q9C550	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; 
Q8L866	CHEBI:79027	L-topaquinone	1	Contains 1 topaquinone per subunit. {ECO:0000256|RuleBase:RU000672};; 
Q8L866	CHEBI:23378	Cu cation	0	Contains 1 topaquinone per subunit. {ECO:0000256|RuleBase:RU000672};; 
Q9LPR4	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; 
Q9LPR4	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; 
Q9MAH0	CHEBI:18420	Mg(2+)	1	Magnesium. Can also use manganese. {ECO:0000269|PubMed:19228119};
Q9MAH0	CHEBI:29035	Mn(2+)	0	Magnesium. Can also use manganese. {ECO:0000269|PubMed:19228119};
Q0WL80	CHEBI:29108	Ca(2+)	1	 Name=Ca(2+); Xref=ChEBI:CHEBI:29108; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q0WL80	CHEBI:29035	Mn(2+)	0	 Name=Ca(2+); Xref=ChEBI:CHEBI:29108; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q9SU56	CHEBI:57692	FAD	[MISSING]	Binds FAD non-covalently.;
Q9SEE5	CHEBI:18420	Mg(2+)	1	Magnesium. Can also use other divalent cations like manganese or calcium. {ECO:0000269|PubMed:19509290};
Q9SEE5	CHEBI:29035	Mn(2+)	0	Magnesium. Can also use other divalent cations like manganese or calcium. {ECO:0000269|PubMed:19509290};
Q9SEE5	CHEBI:29108	Ca(2+)	0	Magnesium. Can also use other divalent cations like manganese or calcium. {ECO:0000269|PubMed:19509290};
Q42601	CHEBI:18420	Mg(2+)	4	Binds 4 Mg(2+) or Mn(2+) ions per subunit. {ECO:0000250};
Q42601	CHEBI:29035	Mn(2+)	0	Binds 4 Mg(2+) or Mn(2+) ions per subunit. {ECO:0000250};
Q9C5C4	CHEBI:29105	Zn(2+)	2	Binds 2 Zn(2+) or Co(2+) ions per subunit. {ECO:0000250};
Q9C5C4	CHEBI:48828	Co(2+)	0	Binds 2 Zn(2+) or Co(2+) ions per subunit. {ECO:0000250};
Q940S3	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:20557289}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:20557289}; 
Q940S3	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:20557289}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:20557289}; 
O23349	CHEBI:23378	Cu cation	1	Binds 1 copper ion per subunit (By similarity). Can also use zinc ion as cofactor (By similarity). {ECO:0000250|UniProtKB:P12807, ECO:0000250|UniProtKB:P46883};; 
O23349	CHEBI:29105	Zn(2+)	0	Binds 1 copper ion per subunit (By similarity). Can also use zinc ion as cofactor (By similarity). {ECO:0000250|UniProtKB:P12807, ECO:0000250|UniProtKB:P46883};; 
Q9SA14	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
Q9SA14	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
Q9SLK0	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
Q9SLK0	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};
Q9FNH4	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q9FNH4	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q9LUM0	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q9LUM0	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q8L840	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q8L840	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q38893	CHEBI:72953	decylplastoquinone	1	Lipophilic quinones such as decyl-plastoquinone or decyl-ubiquinone. {ECO:0000250};
Q38893	CHEBI:52020	6-decylubiquinone	0	Lipophilic quinones such as decyl-plastoquinone or decyl-ubiquinone. {ECO:0000250};
P53799	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:18236008, ECO:0000269|PubMed:7892265}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:18236008}; 
P53799	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:18236008, ECO:0000269|PubMed:7892265}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:18236008}; 
P54968	CHEBI:29035	Mn(2+)	1	Manganese and/or Cobalt or Copper. The ion enhances activity. {ECO:0000269|PubMed:7792599};
P54968	CHEBI:29036	Cu(2+)	0	Manganese and/or Cobalt or Copper. The ion enhances activity. {ECO:0000269|PubMed:7792599};
P54968	CHEBI:48828	Co(2+)	0	Manganese and/or Cobalt or Copper. The ion enhances activity. {ECO:0000269|PubMed:7792599};
Q38970	CHEBI:18420	Mg(2+)	2	Binds 2 magnesium or manganese ions per subunit. {ECO:0000250};
Q38970	CHEBI:29035	Mn(2+)	0	Binds 2 magnesium or manganese ions per subunit. {ECO:0000250};
Q9M9W8	[MISSING]	[MISSING]	1	Does not require Ca(2+) or any other cation for activity. {ECO:0000269|PubMed:11891260};
Q9SSJ8	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q9SSJ8	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q9SJC4	CHEBI:18420	Mg(2+)	1	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
Q9SJC4	CHEBI:29035	Mn(2+)	0	 Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; 
