Metabolite	Concentration
M_tyr_L	10
M_RSc0104	10
M_ttdcea	10
M_RSc0102	10
M_fer	10
M_h2s	10
M_2kmb	10
M_3hpp	10
M_ser_L	10
M_hom_L	10
M_RSc1944	10
M_urea	10
M_h2o	10
M_11cu2s_CopA	10
M_RipI	10
M_cd2	10
M_RipK	10
M_RipJ	10
M_RipM	10
M_RipL	10
M_RipN	10
M_RipB	10
M_RipD	10
M_RipY	10
M_RipX	10
M_RipZ	10
M_Mel	10
M_RipQ	10
M_dhap	10
M_RSp0175	10
M_RipT	10
M_RipW	10
M_rfamp	10
M_hdca	10
M_sbt_D	10
M_mepyr	10
M_L_dpchrm	10
M_RSc1775	10
M_dca	10
M_galur2u	10
M_polygalurnxu	10
M_gnid	10
M_PlcN	10
M_Ss	10
M_ochslac	10
M_RipF1	10
M_inost	10
M_adn	10
M_cobalt2	10
M_tom	10
M_RSp1139	10
M_ade	10
M_Rsl2	10
M_esclt	10
M_galt	10
M_hxan	10
M_tungs	10
M_cana_L	10
M_RSp1180_act	10
M_CbhA	10
M_14bglucan	10
M_ind3acnl	10
M_4hphac	10
M_pro_L	10
M_novbcn	10
M_arg_L	10
M_ile_L	10
M_RSp0103	10
M_23camp	10
M_skm	10
M_iad	10
M_16aglucan	10
M_tre	10
M_arbtnl_fe3	10
M_tartr_L	10
M_n2	10
M_4hba	10
M_id3acald	10
M_3hoxid	10
M_12dgr120	10
M_4hbz	10
M_RSp0745	10
M_asp_L_ala_L	10
M_RipAX1	10
M_RSp0629	10
M_5drib	10
M_PCW_RSc3188_LPS	10
M_gly_gln_L	10
M_ala_L	10
M_RSc3220	10
M_RSc3222	10
M_for	10
M_no	10
M_ala_D	10
M_no2	10
M_RipBA	10
M_RipBB	10
M_RSp1467	10
M_RSp1466	10
M_sel	10
M_RSc0958	10
M_fecrm	10
M_pi	10
M_cholp	10
M_3hcinnm	10
M_3ohpame	10
M_RSp1180	10
M_RSc0887	10
M_Rsl	10
M_14aglucan	10
M_mg2	10
M_RipP1	10
M_leu_L	10
M_ddca	10
M_xan	10
M_12dgr180	10
M_glyclt	10
M_tzea	10
M_fusar	10
M_RipG6	10
M_RipTPS	10
M_butso3	10
M_phe_L	10
